pBrakeF1,rThrottlePedal,vCar
0.1,32.5,147.1
0.1,33.3,147.1
0.1,34.1,147.1
0.1,34.9,147.1
0.1,36,147.1
0.1,37.5,147.1
0.1,39,147.1
0.1,40.6,147.1
0.1,42.5,147.2
0.1,45,147.3
0.1,47.6,147.4
0.1,50.2,147.6
0.1,52.8,147.7
0.1,55.5,147.9
0.1,58.7,148.1
0.1,61.9,148.4
0.1,65.1,148.6
0.1,68.4,148.9
0.1,71.6,149.3
0.1,74.6,149.7
0.1,77.7,150.1
0.1,80.8,150.5
0.1,83.7,150.9
0.1,86.2,151.4
0.1,88.7,151.9
0.1,91.1,152.4
0.1,93.3,152.9
0.1,94.9,153.4
0.1,96.3,154
0.1,97.6,154.6
0.1,98.9,155.1
0.1,100,155.7
0.1,100,156.2
0.1,99.9,156.8
0.1,99.9,157.4
0.1,100,157.9
0.1,100,158.5
0.1,100,159.1
0.1,100,159.6
0.1,100,160.2
0.1,100,160.7
0.1,100,161.3
0.1,100,161.8
0.1,100,162.4
0.1,100,162.9
0.1,100,163.5
0.1,100,164
0.1,100,164.6
0.1,100,165.1
0.1,100,165.7
0.1,100,166.2
0.1,100,166.7
0.1,100,167.3
0.1,100,167.8
0.1,100,168.3
0.1,100,168.9
0.1,100,169.4
0.1,100,169.9
0.1,100,170.4
0.1,100,170.9
0.1,100,171.5
0.1,99.9,172
0.1,100,172.5
0.1,100,173
0.1,100,173.5
0.1,100,174
0.1,100,174.5
0.1,100,174.9
0.1,100,175.4
0.1,100,175.9
0.1,99.9,176.4
0.1,100,176.9
0.1,100,177.4
0.1,100,177.8
0.1,100,178.3
0.1,100,178.8
0.1,100,179.3
0.1,100,179.7
0.1,99.9,180.2
0.1,99.9,180.7
0.1,100,181.1
0.1,100,181.6
0.1,100,182
0.1,100,182.5
0.1,100,182.9
0.1,100,183.4
0.1,100,183.8
0.1,99.9,184.3
0.1,99.9,184.7
0.1,99.9,185.1
0.1,100,185.5
0.1,100,185.9
0.1,100,186.3
0.1,100,186.8
0.1,100,187.2
0.1,100,187.5
0.1,99.9,187.9
0.1,99.9,188.3
0.1,99.9,188.7
0.1,100,189
0.1,99.9,189.3
0.1,99.7,189.7
0.1,99.6,190
0.1,99.5,190.4
0.1,98.9,190.7
0.1,97.6,191
0.1,96.3,191.3
0.1,94.9,191.6
0.1,92.9,191.8
0.1,90.1,192
0.1,87,192.2
0.1,83.9,192.4
0.1,80.8,192.6
0.1,77.8,192.8
0.1,75.1,192.9
0.1,72.3,192.9
0.1,69.6,193
0.1,67.9,193.1
0.1,66.7,193.1
0.1,66,193.1
0.1,65.4,193.1
0.1,64.7,193.1
0.1,64,193.1
0.1,63.9,193.1
0.1,63.9,193.1
0.1,63.9,193.1
0.1,64,193.1
0.1,64.1,193.1
0.1,64,193.1
0.1,63.9,193.1
